bed,row,col,Unique.ID,phen,total.branch,diam.mm,num.flw,num.fruit,long.fruit.cm,survey.date,collected.date,survey.notes,
C,36,B,buffer,,,,,,,,,,
C,37,A,2381,,,,,,,,,,
C,37,B,1289,P,1,1.72,0,4,3.6,9/4/25,9/4/25,9/4 collected 2 Fruits. 9/29 col. 1 frt,
C,38,A,2009,,,,,,,,,,
C,38,B,2230,,,,,,,,,,
C,39,A,2487,,,,,,,,,,
C,39,B,1866,,,,,,,,,,
C,40,A,2069,,,,,,,,,,
C,40,B,2621,,,,,,,,,,
C,41,A,2493,,,,,,,,,,
C,41,B,2574,,,,,,,,,,
C,42,A,1747,,,,,,,,,,
C,42,B,buffer,,,,,,,,,,
C,43,A,73,P,1,1.58,0,12,4.3,8/7/25,8/21/25,8/21 Collected 10 frts,
C,43,B,2522,,,,,,,,,,
C,44,A,2558,,,,,,,,,,
C,44,B,2169,,,,,,,,,,
C,45,A,2165,,,,,,,,,,
C,45,B,2328,,,,,,,,,,
C,46,A,2408,,,,,,,,,,
C,46,B,2392,,,,,,,,,,
C,47,A,2154,,,,,,,,,,
C,47,B,1933,,,,,,,,,,
C,48,A,1893,,,,,,,,,,
c,48,B,2411,,,,,,,,,,
C,49,A,buffer,,,,,,,,,,
C,49,B,2551,,,,,,,,,,
C,50,A,1620,,,,,,,,,,
C,50,B,404,P,1,2.57,0,12,7.4,8/28/25,9/11. 9/29. 10/6,9/11 collected 2 truits. 9/29 col. 5 frt. 10/6 col. 1 frt,
C,51,A,2579,,,,,,,,,,
C,51,B,2361,,,,,,,,,,
C,52,A,buffer,,,,,,,,,,
C,52,B,buffer,,,,,,,,,,
C,53,A,1990,,,,,,,,,,
C,53,B,2286,,,,,,,,,,
C,54,A,1795,P,1,1.47,0,3,3.5,9/4/25,6-Oct,10/6 col. 2 fruit,
C,54,B,buffer,,,,,,,,,,
C,55,A,2488,,,,,,,,,,
C,55,B,2020,,,,,,,,,,
C,56,A,1936,,,,,,,,,,
C,56,B,2173,,,,,,,,,,
C,57,A,2608,,,,,,,,,,
C,57,B,2398,,,,,,,,,,
c,58,A,395,,,,,,,,,,
C,58,B,1916,,,,,,,,,,
C,59,A,buffer,,,,,,,,,,
C,59,B,buffer,,,,,,,,,,
C,60,A,buffer,,,,,,,,,,
C,60,B,buffer,,,,,,,,,,
C,1,C,buffer,,,,,,,,,,
C,1,D,buffer,,,,,,,,,,
C,2,C,buffer,,,,,,,,,,
c,2,D,buffer,,,,,,,,,,
C,3,C,buffer,,,,,,,,,,
C,3,D,buffer,,,,,,,,,,
C,4,C,2127,,,,,,,,,,
C,4,D,NA,,,,,,,,,,
C,5,C,2228,,,,,,,,,,
c,5,D,NA,,,,,,,,,,
C,6,C,2476,,,,,,,,,,
C,6,D,2314,,,,,,,,,,
c,7,C,2051,,,,,,,,,,
C,7,D,2419,,,,,,,,,,
C,8,C,1826,,,,,,,,,,
C,8,D,1699,,,,,,,,,,
C,9,C,2200,,,,,,,,,,
C,9,D,NA,,,,,,,,,,
C,10,C,2006,,,,,,,,,,
C,10,D,NA,,,,,,,,,,
C,11,C,2563,,,,,,,,,,
C,11,D,2170,,,,,,,,,,
C,12,C,1621,,,,,,,,,,
C,12,D,2258,,,,,,,,,,
C,13,C,2619,,,,,,,,,,
C,13,D,2041,,,,,,,,,,
C,14,C,1950,,,,,,,,,,
c,14,D,1873,,,,,,,,,,
C,15,C,1738,,,,,,,,,,
C,15,D,2555,,,,,,,,,,
c,16,C,2359,,,,,,,,,,
C,16,D,2115,,,,,,,,,,
C,17,C,1608,,,,,,,,,,
C,17,D,2217,,,,,,,,,,
C,18,C,2402,,,,,,,,,,
C,18,D,1931,,,,,,,,,,
C,19,C,1861,,,,,,,,,,
C,19,D,2391,,,,,,,,,,
C,20,C,2360,,,,,,,,,,
C,20,D,2254,,,,,,,,,,
C,21,C,2303,,,,,,,,,,
C,21,D,2550,,,,,,,,,,
C,22,C,2499,,,,,,,,,,
C,22,D,2606,,,,,,,,,,
C,23,c,2405,,,,,,,,,,
C,23,D,737,P,1,2.9,0,52,4.9,8/14/25,8/28. 9/4. 9/18,8/28 2 Fruits. 9/4 7 Fruits. 9/18 col 2 fruit,
C,24,C,2070,,,,,,,,,,
C,24,D,1911,,,,,,,,,,
C,25,C,1820,,,,,,,,,,
C,25,D,1828,,,,,,,,,,
C,26,C,NA,,,,,,,,,,
C,26,D,NA,,,,,,,,,,
C,27,C,NA,,,,,,,,,,
C,27,D,NA,,,,,,,,,,
C,28,C,1932,,,,,,,,,,
C,28,D,buffer,,,,,,,,,,
C,29,C,711,P,1,2.17,0,20,4.1,8/7/25,9/4. 9/18,9/4/25 collected 8 Fruits. 9/18 col 2 fruit,
C,29,D,2269,P,1,1.74,0,2,4.7,8/7/25,8/14/25,8/14 collected 2 fruits,
C,30,C,2620,,,,,,,,,,
C,30,D,2646,P,1,2.27,0,5,5.5,8/28/25,6-Oct,10/6 col 4 fruits,
C,31,C,2420,,,,,,,,,,
C,31,D,2096,,,,,,,,,,
C,32,C,2580,,,,,,,,,,
C,32,D,2430,,,,,,,,,,
C,33,C,2339,,,,,,,,,,
C,33,D,2410,,,,,,,,,,
C,34,C,2471,,,,,,,,,,
C,34,D,2201,,,,,,,,,,
C,35,C,2218,,,,,,,,,,
C,35,D,2153,,,,,,,,,,
C,36,C,buffer,,,,,,,,,,
C,36,D,buffer,,,,,,,,,,
C,37,C,2260,,,,,,,,,,
C,37,D,714,X,1,1.7,0,0,NA,7/18/25,,,
C,38,C,1982,,,,,,,,,,
C,38,D,539,,,,,,,,,,
C,39,C,2220,,,,,,,,,,
C,39,D,1821,,,,,,,,,,
C,40,C,1992,,,,,,,,,,
C,40,D,2204,,,,,,,,,,
C,41,C,2607,,,,,,,,,,
C,41,D,2554,,,,,,,,,,
C,42,C,2446,,,,,,,,,,
C,42,D,2043,,,,,,,,,,
C,43,C,1156,P,1,2.38,0,16,5.1,8/28/25,8/28. 9/4. 9/18,8/28 Col 4 fruit. 9/4 col 3 Frt. 9/18 3 fruit,
C,43,D,1048,P,1,2.15,0,4,4.6,8/14/25,8/28. 9/24,"8/28 col 1 fruit, 1 already dehisced (did not col.) 9/24 col 1 fruit (partially dehisced)",
C,44,C,1252,P,1,1.96,0,14,5.3,8/7/25,8/7. 8/14. 8/28,8/7 c. 2 fruits 8/14 collected 3 frts. 8/28 col 6 fruits,
C,44,D,1085,P,1,1.58,0,3,3.6,8/7/25,8/14/25,,
C,45,C,NA,,,,,,,,,,
C,45,D,394,P,1,1.68,0,3,3.3,9/11/25,11-Sep,9/11 1 fruit collected,
C,46,C,NA,,,,,,,,,,
C,46,D,1766,,,,,,,,,,
C,47,C,2255,,,,,,,,,,
C,47,D,1399,P,1,1.86,0,5,6.2,8/1/25,8/7/25,8/7 collected all fruits,
c,48,C,89,P,1,1.78,0,16,3,8/7/25,8/14/25,8/14 collected 10 frts ,
C,48,D,1919,,,,,,,,,,
C,49,C,2643,P,1,2.63,0,14,5.7,8/7/25,9/4. 9/11. 9/18,9/4/25 7 Fruits Col. 9/11 7 fruits. 9/18 col 2 fruits,
C,49,D,2480,,,,,,,,,,
C,50,C,1794,,,,,,,,,,
C,50,D,2097,,,,,,,,,,
C,51,C,2397,,,,,,,,,,
C,51,D,1831,,,,,,,,,,
C,52,C,2516,,,,,,,,,,
C,52,D,1701,,,,,,,,,,
C,53,C,2311,,,,,,,,,,
C,53,D,2640,,,,,,,,,,
C,54,C,buffer,,,,,,,,,,
C,54,D,buffer,,,,,,,,,,
C,55,C,2423,,,,,,,,,,
C,55,D,2519,,,,,,,,,,
c,56,c,2450,,,,,,,,,,
C,56,D,2559,,,,,,,,,,
C,57,C,1798,,,,,,,,,,
C,57,D,1835,,,,,,,,,,
C,58,C,2031,,,,,,,,,,
C,58,D,2457,,,,,,,,,,
C,59,C,buffer,,,,,,,,,,
C,59,D,buffer,,,,,,,,,,
C,60,C,buffer,,,,,,,,,,
C,60,D,buffer,,,,,,,,,,
D,1,A,buffer,,,,,,,,,,
D,1,B,buffer,,,,,,,,,,
D,2,A,buffer,,,,,,,,,,
D,2,B,buffer,,,,,,,,,,
D,3,A,buffer,,,,,,,,,,
D,3,B,buffer,,,,,,,,,,
D,4,A,1993,,,,,,,,,,
D,4,B,1704,,,,,,,,,,
D,5,A,2483,,,,,,,,,,
D,5,B,2239,,,,,,,,,,
D,6,A,NA,,,,,,,,,,
D,6,B,NA,,,,,,,,,,
D,7,A,NA,,,,,,,,,,
D,7,B,NA,,,,,,,,,,
D,8,A,2075,,,,,,,,,,
D,8,B,NA,,,,,,,,,,
D,9,A,2155,,,,,,,,,,
D,9,B,2320,P,1,2.3,0,2,3.9,8/28/25,9/11/25,9/11 col. 2 frut,
D,10,A,2278,,,,,,,,,,
D,10,B,436,X,1,3.09,4,2,2.4,7/18/25,,2(out of 4) Flowers dry,
D,11,A,2362,,,,,,,,,,
D,11,B,1822,,,,,,,,,,
D,12,A,NA,,,,,,,,,,
D,12,B,304,P,1,3.11,0,9,4.5,8/14/25,28-Aug,8/28 3 Fruit. 9/4/25 2nd repro collected 2,
D,13,A,2470,,,,,,,,,,
D,13,B,2209,,,,,,,,,,
D,14,A,2417,,,,,,,,,,
D,14,B,2205,,,,,,,,,,
D,15,A,1790,,,,,,,,,,
D,15,B,1107,P,1,2.84,0,9,6.1,7/18/25,8/14. 8/28,8/14 collected 4 fruits. 8/28 col 6 fruit. 10/6 2 fruits still on plant update fruit count?,
D,16,A,1995,,,,,,,,,,
D,16,B,1961,,,,,,,,,,
D,17,A,2240,,,,,,,,,,
D,17,B,403,,,,,,,,,,
D,18,A,2521,,,,,,,,,,
D,18,B,2610,,,,,,,,,,
D,19,A,2393,,,,,,,,,,
D,19,B,141,P,1,1.22,0,3,3.8,7/18/25,8/7/25,collected all fruit 3,
D,20,A,2532,,,,,,,,,,
D,20,B,buffer,,,,,,,,,,
D,21,A,2363,,,,,,,,,,
D,21,B,2609,,,,,,,,,,
D,22,A,2206,,,,,,,,,,
D,22,B,2593,,,,,,,,,,
D,23,A,1894,,,,,,,,,,
D,23,B,2413,,,,,,,,,,
D,24,A,2597,,,,,,,,,,
D,24,B,2440,,,,,,,,,,
D,25,A,2504,,,,,,,,,,
D,25,B,2222,,,,,,,,,,
D,26,A,2577,,,,,,,,,,
D,26,B,1803,,,,,,,,,,
D,27,A,1939,,,,,,,,,,
D,27,B,2444,,,,,,,,,,
D,28,A,1864,,,,,,,,,,
D,28,B,2403,,,,,,,,,,
D,29,A,2312,,,,,,,,,,
D,29,B,1942,,,,,,,,,,
D,30,A,103,P,1,1.29,0,16,4.8,7/18/25,8/7/25,7/18 taped 1 fruit. 8/17 collected 10f frt,
D,30,B,1760,,,,,,,,,,
D,31,A,1967,,,,,,,,,,
D,31,B,2569,,,,,,,,,,
D,32,A,1968,,,,,,,,,,
D,32,B,2633,,,,,,,,,,
D,33,A,1280,P,1,1.54,0,1,3.3,7/18/25,8/7/25,,
D,33,B,246,P,1,3.76,0,29,5.7,8/7/25,8/14 8/28,8/14 collected 5 frts. 8/28 col. 6 fruit,
D,34,A,2406,,,,,,,,,,
D,34,B,2224,,,,,,,,,,
D,35,A,buffer,,,,,,,,,,
D,35,B,190,P,1,2.26,0,30,5.7,8/14/25,8/14/15,8/14 collected 10 frts some already dehiscing,
D,36,A,2130,,,,,,,,,,
D,36,B,2507,,,,,,,,,,
D,37,A,1675,,,,,,,,,,
D,37,B,2364,,,,,,,,,,
D,38,A,1774,,,,,,,,,,
D,38,B,2418,,,,,,,,,,
D,39,A,2515,,,,,,,,,,
D,39,B,1838,,,,,,,,,,
D,40,A,2261,,,,,,,,,,
D,40,B,2414,,,,,,,,,,
D,41,A,2455,,,,,,,,,,
D,41,B,1940,,,,,,,,,,
D,42,A,2324,,,,,,,,,,
D,42,B,1985,,,,,,,,,,
D,43,A,895,X,1,1.19,0,1,2.6,7/18/25,7/18/25,,
D,43,B,1804,,,,,,,,,,
D,44,A,2207,,,,,,,,,,
D,44,B,2596,,,,,,,,,,
D,45,A,2241,,,,,,,,,,
D,45,B,398,P,1,2.35,0,11,7,8/7/25,9/4. 9/11. 9/24,9/4 col 4 fruit. 9/11 col 2 fruit. 9/24 col 4 fruit,
D,46,A,2583,,,,,,,,,,
D,46,B,2238,X,1,1.21,NA,NA,NA,7/25/25,NA,,
D,47,A,buffer,,,,,,,,,,
D,47,B,1403,P,1,3.33,0,19,6.7,8/7/25,8/14/25 8/21,8/14. 8/21 col. 8 fruits,
D,48,A,2490,,,,,,,,,,
D,48,B,1702,,,,,,,,,,
D,49,A,2525,,,,,,,,,,
D,49,B,1707,,,,,,,,,,
D,50,A,buffer,,,,,,,,,,
D,50,B,2625,,,,,,,,,,
D,51,A,buffer,,,,,,,,,,
D,51,B,1988,,,,,,,,,,
D,52,A,522,P,1,1.56,0,2,5,9/29/25,9/29/25,collected 9/29 Frts 2,
D,52,B,2463,,,,,,,,,,
D,53,A,2395,,,,,,,,,,
D,53,B,2212,,,,,,,,,,
D,54,A,1876,,,,,,,,,,
D,54,B,1849,,,,,,,,,,
D,55,A,2573,,,,,,,,,,
D,55,B,2425,,,,,,,,,,
D,56,A,2544,,,,,,,,,,
D,56,B,2492,,,,,,,,,,
D,57,A,buffer,,,,,,,,,,
D,57,B,1327,,,,,,,,9/11. 9/24. 10/6,9/11/25: col 1 fruit. 9/24: col 2 fruit 10/6/25: col 7 Fruits,
D,58,A,buffer,,,,,,,,,,
D,58,B,2131,,,,,,,,,,
D,1,C,buffer,,,,,,,,,,
D,1,D,buffer,,,,,,,,,,
D,2,C,buffer,,,,,,,,,,
D,2,D,buffer,,,,,,,,,,
D,3,C,buffer,,,,,,,,,,
D,3,D,buffer,,,,,,,,,,
D,4,C,1901,,,,,,,,,,
D,4,D,2221,,,,,,,,,,
D,5,C,2292,,,,,,,,,,
D,5,D,2121,,,,,,,,,,
D,6,C,NA,,,,,,,,,,
D,6,D,NA,,,,,,,,,,
D,7,C,1751,,,,,,,,,,
D,7,D,NA,,,,,,,,,,
D,8,C,2538,,,,,,,,,,
D,8,D,1856,,,,,,,,,,
D,9,C,2622,,,,,,,,,,
D,9,D,1768,,,,,,,,,,
D,10,C,2412,,,,,,,,,,
D,10,D,buffer,,,,,,,,,,
D,11,C,1614,,,,,,,,,,
D,11,D,buffer,,,,,,,,,,
D,12,C,2257,,,,,,,,,,
D,12,D,2578,,,,,,,,,,
D,13,C,144,P,1,2.27,0,27,4.9,7/25/25,8/7/25,Collected 10 fruits,
D,13,D,2576,,,,,,,,,,
D,14,C,1976,,,,,,,,,,
D,14,D,buffer,,,,,,,,,,
D,15,C,2376,,,,,,,,,,
D,15,D,1667,,,,,,,,,,
D,16,C,2343,,,,,,,,,,
D,16,D,2539,,,,,,,,,,
D,17,C,2644,,,,,,,,,,
D,17,D,1791,,,,,,,,,,
D,18,C,2510,,,,,,,,,,
D,18,D,2054,,,,,,,,,,
D,19,C,1767,,,,,,,,,,
D,19,D,1644,,,,,,,,,,
D,20,C,buffer,,,,,,,,,,
D,20,D,2399,,,,,,,,,,
D,21,C,buffer,,,,,,,,,,
D,21,D,1977,,,,,,,,,,
D,22,C,53,P,1,2.53,0,3,2.7,8/14/25,8/14/25,8/14 collected 5 Fruits 8/28: no Fruits left,
D,22,D,buffer,,,,,,,,,,
D,23,C,buffer,,,,,,,,,,
D,23,D,815,P,1,1.35,0,6,3,7/25/25,8/14/25,8/14 collected 6 Fruit 8/28: no fruits left,
D,24,C,2265,,,,,,,,,,
D,24,D,2461,,,,,,,,,,
D,25,C,2047,,,,,,,,,,
D,25,D,2623,,,,,,,,,,
D,26,C,1753,,,,,,,,,,
D,26,D,1600,,,,,,,,,,
D,27,C,1837,,,,,,,,,,
D,27,D,2283,,,,,,,,,,
D,28,C,2501,,,,,,,,,,
D,28,D,2129,,,,,,,,,,
D,29,C,1971,,,,,,,,,,
D,29,D,2617,,,,,,,,,,
D,30,C,1834,,,,,,,,,,
D,30,D,2451,,,,,,,,,,
D,31,C,2540,,,,,,,,,,
D,31,D,2647,,,,,,,,,,
D,32,C,2431,,,,,,,,,,
D,32,D,2526,,,,,,,,,,
D,33,C,2422,,,,,,,,,,
D,33,D,2601,,,,,,,,,,
D,34,C,1648,,,,,,,,,,
D,34,D,2345,,,,,,,,,,
D,35,C,204,,,,,,,,,,
D,35,D,2479,,,,,,,,,,
D,36,C,NA,,,,,,,,,,
D,36,D,2468,,,,,,,,,9/4/25 1 Fruit fell off,
D,37,C,2050,,,,,,,,,,
D,37,D,1882,,,,,,,,,,
D,38,C,1997,,,,,,,,,,
D,38,D,2055,,,,,,,,,,
D,39,C,1862,,,,,,,,,,
D,39,D,1430,P,1,3.53,0,11,7.1,8/7/25,8/14 8/28,8/14 Collected 1 fruit 8/28 col 9 fruit,
D,40,C,2340,P,1,2.21,0,5,6.1,8/28/25,9/29/25,9/29/25 collected 3 fruits,
D,40,D,1404,P,1,2.25,0,17,9.6,8/21/25,8/21/25,8/21 collected 10 fruits,
D,41,C,1913,,,,,,,,,,
D,41,D,2484,,,,,,,,,,
D,42,C,491,X,1,NA,0,0,NA,8/7/25,,,
D,42,D,76,P,1,1.61,0,11,3.7,8/28/25,8/28 9/4,8/28 collected 2 fruit 9/4 Col. 3 fruit. remaining fruit dehiscing,
D,43,C,363,P,1,1.63,0,4,3.3,8/1/25,8/7 8/28, 8/7 Collected 3 fruit 8/28 col. 1 fruit,1 fruit
D,43,D,2046,,,,,,,,,,
D,44,C,385,P,1,1.85,0,1,6.7,8/1/25,8/14/25,8/14 collected 1 fruit,
D,44,D,2531,P,1,2.58,0,9,2.7,8/14/25,,,
D,45,C,2624,,,,,,,,,,
D,45,D,2543,,,,,,,,,,
D,46,C,2277,,,,,,,,,,
D,46,D,1972,,,,,,,,,,
D,47,C,1682,,,,,,,,,,
D,47,D,2065,,,,,,,,,,
D,48,C,1615,,,,,,,,,,
D,48,D,2369,,,,,,,,,,
D,49,C,2192,,,,,,,,,,
D,49,D,2387,,,,,,,,,,
D,50,C,2103,,,,,,,,,,
D,50,D,2542,,,,,,,,,,
D,51,C,2445,,,,,,,,,,
D,51,D,1839,,,,,,,,,,
D,52,C,2242,,,,,,,,,,
D,52,D,1806,,,,,,,,,,
D,53,C,2429,,,,,,,,,,
D,53,D,2346,,,,,,,,,,
D,54,C,2567,,,,,,,,,,
D,54,D,936,P,1,1.52,0,5,,8/21/25,8/21/25,collected 5 fruits,
D,55,C,2235,,,,,,,,,,
D,55,D,1796,P,1,2.19,0,7,5.1,9/4/25,9/4/25,9/4 Collected 7 fruit,
D,56,C,2166,,,,,,,,,,
D,56,D,2485,,,,,,,,,,
D,57,C,1970,,,,,,,,,,
D,57,D,buffer,,,,,,,,,,
D,58,C,buffer,,,,,,,,,,
D,58,D,buffer,,,,,,,,,,
D,59,C,buffer,,,,,,,,,,
D,59,D,buffer,,,,,,,,,,
E,1,B,buffer,,,,,,,,,,
E,2,A,buffer,,,,,,,,,,
E,2,B,buffer,,,,,,,,,,
E,3,A,buffer,,,,,,,,,,
E,3,B,buffer,,,,,,,,,,
E,4,A,2225,,,,,,,,,,
E,4,B,1998,,,,,,,,,,
E,5,A,2475,,,,,,,,,,
E,5,B,2641,,,,,,,,,,
E,6,A,NA,,,,,,,,,,
E,6,B,2061,,,,,,,,,,
E,7,A,2266,,,,,,,,,,
E,7,B,2534,,,,,,,,,,
E,8,A,2282,,,,,,,,,,
E,8,B,2028,,,,,,,,,,
E,9,A,buffer,,,,,,,,,,
E,9,B,2132,,,,,,,,,,
E,10,A,399,X,1,1.83,0,0,NA,7/18/25,,,
E,10,B,2374,,,,,,,,,,
E,11,A,2088,,,,,,,,,,
E,11,B,2518,,,,,,,,,,
E,12,A,2079,,,,,,,,,,
E,12,B,NA,,,,,,,,,,
E,13,A,2486,,,,,,,,,,
E,13,B,NA,,,,,,,,,,
E,14,A,2211,,,,,,,,,,
E,14,B,2025,,,,,,,,,,
E,15,A,2018,,,,,,,,,,
E,15,B,1896,,,,,,,,,,
E,16,A,1857,,,,,,,,,,
E,16,B,2244,,,,,,,,,,
E,17,A,1807,,,,,,,,,,
E,17,B,1840,,,,,,,,,,
E,18,A,2000,,,,,,,,,,
E,18,B,372,P,1,3.21,0,14,5.1,7/18/25,8/7. 8/14,8/7 5 fruits. 8/17 5 fruits,
E,19,A,1605,,,,,,,,,,
E,19,B,1975,,,,,,,,,,
E,20,A,1684,,,,,,,,,,
E,20,B,2367,,,,,,,,,,
E,21,A,2104,,,,,,,,,,
E,21,B,2437,,,,,,,,,,
E,22,A,2014,,,,,,,,,,
E,22,B,buffer,,,,,,,,,,
E,23,A,buffer,,,,,,,,,,
E,23,B,2524,,,,,,,,,,
E,24,A,2584,,,,,,,,,,
E,24,B,2400,,,,,,,,,,
E,25,A,2332,,,,,,,,,,
E,25,B,1808,,,,,,,,,,
E,26,A,1713,,,,,,,,,,
E,26,B,NA,,,,,,,,,,
E,27,A,95,P,1,1.86,0,1,1,7/18/25,NA,dead 8/7,
E,27,B,1841,,,,,,,,,,
E,28,A,1999,,,,,,,,,,
E,28,B,2453,,,,,,,,,,
E,29,A,2106,,,,,,,,,,
E,29,B,2375,,,,,,,,,,
E,30,A,NA,,,,,,,,,,
E,30,B,NA,,,,,,,,,,
E,41,A,1601,,,,,,,,,,
E,41,B,2194,,,,,,,,,,
E,42,A,2627,,,,,,,,,,
E,42,B,2434,,,,,,,,,,
E,43,A,369,,,,,,,,,,
E,43,B,1686,,,,,,,,,,
E,44,A,NA,,,,,,,,,,
E,44,B,2273,P,1,1.8,0,3,5,8/28/25,9/18/25,9/18 col 3 fruit,
E,45,A,2208,,,,,,,,,,
E,45,B,1902,,,,,,,,,,
E,46,A,2304,,,,,,,,,,
E,46,B,2613,,,,,,,,,,
E,47,A,NA,,,,,,,,,,
E,47,B,2586,,,,,,,,,,
E,48,A,2164,,,,,,,,,,
E,48,B,1974,,,,,,,,,,
E,49,A,buffer,,,,,,,,,,
E,49,B,2503,,,,,,,,,,
E,50,A,2458,,,,,,,,,,
E,50,B,1193,P,1,1.01,0,1,2.9,8/7/25,8/14/25,1 Fruit collected,
E,51,A,334,P,1,1.83,0,6,4.1,8/7/25,8/14 8/28,Taped fruits 8/14 3 Fruit collected. 8/28 3 fruit col,
E,51,B,1800,,,,,,,,,,
E,52,A,buffer,,,,,,,,,,
E,52,B,buffer,,,,,,,,,,
E,1,C,buffer,,,,,,,,,,
E,1,D,buffer,,,,,,,,,,
E,2,C,buffer,,,,,,,,,,
E,2,D,buffer,,,,,,,,,,
E,3,C,buffer,,,,,,,,,,
E,3,D,buffer,,,,,,,,,,
E,4,C,1789,,,,,,,,,,
E,4,D,2415,,,,,,,,,,
E,5,C,NA,,,,,,,,,,
E,5,D,2432,,,,,,,,,,
E,6,C,1656,,,,,,,,,,
E,6,D,NA,,,,,,,,,,
E,7,C,2582,,,,,,,,,,
E,7,D,1406,P,1,3.06,0,27,7.4,8/14/25,9/4/25,Collected 10 fruit,
E,8,C,2541,,,,,,,,,,
E,8,D,2366,,,,,,,,,,
E,9,C,2636,,,,,,,,,,
E,9,D,2347,,,,,,,,,,
E,10,C,1711,,,,,,,,,,
E,10,D,2630,,,,,,,,,,
E,11,C,2268,,,,,,,,,,
E,11,D,2552,,,,,,,,,,
E,12,C,NA,,,,,,,,,,
E,12,D,2007,,,,,,,,,,
E,13,C,NA,,,,,,,,,,
E,13,D,1490,P,1,3.7,0,59,5.6,8/28/25,8/28/25,collected 10 fruits,
E,14,C,2193,,,,,,,,,,
E,14,D,2394,,,,,,,,,,
E,15,C,2498,,,,,,,,,,
E,15,D,NA,,,,,,,,,,
E,16,C,2272,,,,,,,,,,
E,16,D,NA,,,,,,,,,,
E,17,C,1657,,,,,,,,,,
E,17,D,2174,,,,,,,,,,
E,18,C,2057,,,,,,,,,,
E,18,D,2122,,,,,,,,,,
E,19,C,2040,,,,,,,,,,
E,19,D,buffer,,,,,,,,,,
E,20,C,2190,,,,,,,,,,
E,20,D,2626,,,,,,,,,,
E,21,C,1781,,,,,,,,,,
E,21,D,2416,,,,,,,,,,
E,22,C,2036,,,,,,,,,,
E,22,D,2428,,,,,,,,,,
E,23,C,2409,,,,,,,,,,
E,23,D,2325,,,,,,,,,,
E,24,C,2585,,,,,,,,,,
E,24,D,2502,,,,,,,,,,
E,25,C,2080,,,,,,,,,,
