bed.block.order,bed.order,AB.CD.order,column.order,status,block,bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID,Notes
287,287,5,1,available,E,D,21,A,(WV x WL2) x (WL2 x CC),3_1,3,1,11,2363,
288,288,5,1,available,E,D,21,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,4,2609,
289,289,5,1,available,E,D,22,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,15,2206,
290,290,5,1,available,E,D,22,B,(DPR x TM2) x (TM2 x WL2),3_2,3,2,6,2593,
291,291,5,1,available,E,D,23,A,WL2,8,8,,71,1894,
292,292,5,1,available,E,D,23,B,BH x WL2,19-A_8-A,19-A,8-A,5,2413,
293,293,5,1,available,E,D,24,A,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,1,2597,
294,294,5,1,available,E,D,24,B,(CC x WL2) x (WL2),4_2A,4,2A,15,2440,
295,295,5,1,available,E,D,25,A,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,2,2504,
296,296,5,1,available,E,D,25,B,(WL2 x BH) x (WL2 x TM2),2_3,2,3,9,2222,
297,297,5,1,available,E,D,26,A,(WV x WL2) x (WV),20_7-3,20,3-Jul,5,2577,
298,298,5,1,available,E,D,26,B,WL1,8,8,,1,1803,
299,299,5,1,available,E,D,27,A,WV,11,11,,18,1939,
300,300,5,1,available,E,D,27,B,(LV1 x WL2) x (WL2),6_16-A,6,16-A,4,2444,
301,301,5,1,available,E,D,28,A,WL2,5,5,,41,1864,
302,302,5,1,available,E,D,28,B,WL1,8,8,,2,2403,
303,303,5,1,available,E,D,29,A,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,4,2312,
304,304,5,1,available,E,D,29,B,WV,11,11,,21,1942,added at randomization
439,307,5,1,2024-survivor,,D,30,A,WL2,,,,8,103,
334,306,5,1,available,F,D,30,B,TM2,7,7,,56,1760,
305,305,5,1,available,E,D,31,A,BH x WL2,1-3_8-10,3-Jan,10-Aug,4,1967,moved here due to rock
335,308,5,1,available,F,D,31,B,(WV x WL2) x (WL2 x BH),2_2,2,2,10,2569,
336,309,5,1,available,F,D,32,A,BH x WL2,19-A_8-A,19-A,8-A,5,1968,
337,310,5,1,available,F,D,32,B,TM2,8,8,,61,2633,
440,313,5,1,2024-survivor,,D,33,A,TM2 x WL2,,,,4,1280,
441,314,5,1,2024-survivor,,D,33,B,(WL2 x BH) x (WL2 x TM2),,,,11,246,
338,311,5,1,available,F,D,34,A,WL1,8,8,,7,2406,
339,312,5,1,available,F,D,34,B,(WL2 x BH) x (WL2 x TM2),2_1,2,1,11,2224,
442,315,5,1,buffer,,D,35,A,buffer,,,,,buffer,
444,318,5,1,2024-survivor,,D,35,B,WL2,,,,95,190,
341,319,5,1,available,F,D,36,A,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,2,2130,
340,316,5,1,available,F,D,36,B,(TM2) x (TM2 x WL2),2-1_2,1-Feb,2,5,2507,
343,321,5,1,available,F,D,37,A,LV1,22,22,,13,1675,dead at planting
342,320,5,1,available,F,D,37,B,(WV x WL2) x (WL2 x CC),3_1,3,1,12,2364,dead pre-planting
345,323,5,1,available,F,D,38,A,TM2,9,9,,70,1774,
344,322,5,1,available,F,D,38,B,SQ3 x WL2,6-C_8-A,6-C,8-A,3,2418,
347,325,5,1,available,F,D,39,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,2515,
346,324,5,1,available,F,D,39,B,WL2,2,2,,15,1838,
349,327,5,1,available,F,D,40,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,23,2261,
348,326,5,1,available,F,D,40,B,BH x WL2,19-A_8-A,19-A,8-A,5,2414,
351,329,5,1,available,F,D,41,A,(WL2 x TM2) x (WL2 x BH),1_2,1,2,2,2455,
350,328,5,1,available,F,D,41,B,WV,11,11,,19,1940,
353,331,5,1,available,F,D,42,A,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,9,2324,
352,330,5,1,available,F,D,42,B,LV1 x WL2,14_8,14,8,8,1985,
445,333,5,1,2024-survivor,,D,43,A,(WL2) x (DPR x WL2),,,,1,895,
354,332,5,1,available,F,D,43,B,WL1,8,8,,2,1804,
356,335,5,1,available,F,D,44,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,16,2207,
355,334,5,1,available,F,D,44,B,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,30,2596,
358,337,5,1,available,F,D,45,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,3,2241,
446,338,5,1,2024-survivor,,D,45,B,BH,,,,12,398,
359,339,5,1,available,F,D,46,A,(YO11 x WL2) x (WL2),4_13-B,4,13-B,2,2583,
357,336,5,1,available,F,D,46,B,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,8,2238,
361,341,5,1,buffer,F,D,47,A,buffer,,,,,buffer,
447,342,5,1,2024-survivor,,D,47,B,WV x WL2,,,,1,1403,
389,343,5,1,available,G,D,48,A,WL2 x DPR,,,,3,2490,
360,340,5,1,available,F,D,48,B,SQ3,7,7,,19,1702,added at randomization
391,345,5,1,available,G,D,49,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,2525,
390,344,5,1,available,G,D,49,B,TM2,1,1,,3,1707,
448,347,5,1,buffer,,D,50,A,buffer,,,,,buffer,
392,346,5,1,available,G,D,50,B,WV,12,12,,12,2625,
449,349,5,1,buffer,,D,51,A,buffer,,,,,buffer,
393,348,5,1,available,G,D,51,B,LV1 x WL2,14_8,14,8,11,1988,
450,351,5,1,2024-survivor,,D,52,A,TM2,,,,52,522,
394,350,5,1,available,G,D,52,B,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,13,2463,
396,353,5,1,available,G,D,53,A,WL2,2,2,,16,2395,
395,352,5,1,available,G,D,53,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,21,2212,
398,355,5,1,available,G,D,54,A,WL2,6,6,,53,1876,
397,354,5,1,available,G,D,54,B,WL2,3,3,,26,1849,
400,357,5,1,available,G,D,55,A,(WV x WL2) x (WL2 x CC),3_1,3,1,15,2573,
399,356,5,1,available,G,D,55,B,WL1 x WL2,2-2_10-1,2-Feb,1-Oct,6,2425,
402,359,5,1,available,G,D,56,A,(WL2 x CC) x (WL2 x BH),1_1,1,1,3,2544,
401,358,5,1,available,G,D,56,B,YO11 x WL2,,,,1,2492,
451,361,5,1,buffer,,D,57,A,buffer,,,,,buffer,
452,362,5,1,2024-survivor,,D,57,B,(WV x WL2) x (WL2 x DPR),,,,3,1327,
453,363,5,1,buffer,,D,58,A,buffer,,,,,buffer,
403,360,5,1,available,G,D,58,B,(TM2 x WL2) x (TM2),3_1-3,3,3-Jan,3,2131,
455,365,6,2,buffer,,D,1,C,buffer,,,,,buffer,
456,366,6,2,buffer,,D,1,D,buffer,,,,,buffer,
457,367,6,2,buffer,,D,2,C,buffer,,,,,buffer,
458,368,6,2,buffer,,D,2,D,buffer,,,,,buffer,
459,369,6,2,buffer,,D,3,C,buffer,,,,,buffer,
460,370,6,2,buffer,,D,3,D,buffer,,,,,buffer,
263,371,6,2,available,D,D,4,C,WL2,8,8,,78,1901,
264,372,6,2,available,D,D,4,D,(WL2 x BH) x (WL2 x TM2),2_3,2,3,8,2221,
265,373,6,2,available,D,D,5,C,(WL2 x TM2) x (WL2 x BH),1_2,1,2,3,2292,
266,374,6,2,available,D,D,5,D,(SQ3 x WL2) x (WL2),5_13-B,5,13-B,30,2121,
461,375,6,2,out-of-bounds,,D,6,C,NA,,,,,NA,
462,376,6,2,out-of-bounds,,D,6,D,NA,,,,,NA,
267,377,6,2,available,D,D,7,C,TM2,6,6,,47,1751,
463,378,6,2,out-of-bounds,,D,7,D,NA,,,,,NA,
268,379,6,2,available,D,D,8,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,2,2538,
269,380,6,2,available,D,D,8,D,WL2,4,4,,33,1856,
270,381,6,2,available,D,D,9,C,DPR,20,20,,18,2622,
271,382,6,2,available,D,D,9,D,TM2,9,9,,64,1768,
