bed,row,col,unique.ID,phen,diam.mm,num.flw,num.fruit or date.collected,long.fruit.cm,total.branch,overhd.diam,overhd.perp,survey.date,survey.notes,
E,24,D,1078,P,10.29,3,6/20/24,5,3,56,41,6/20/24,,
E,25,C,322,P,2.32,0,,NA,1,2.4,1.2,7/10/24,,
E,25,D,234,P,7.7,0,,NA,1,26.6,20.2,7/10/24,,
E,26,C,427,P,19.83,0,6/20/24,8.3,1,134,77,6/20/24,,
E,26,D,439,X,8.19,0,5/30/24,5,2,40,30,5/23/24,,
E,27,C,1375,P,15.36,0,7/11/24,8,1,74.5,44.7,7/10/24,Dying,
E,27,D,1288,P,8.3,1,6/20/24,6.1,1,64,42,6/20/24,,
E,28,C,162,X,,0,,NA,,12,11.4,7/10/24,7/0 Measure diameter when harvest too many banch,
E,28,D,496,X,10.35,0,5/30/0211,8,2,50,44,5/23/24,,
E,29,C,41,P,11.74,0,7/11/24,7.5,1,55.8,44.7,7/10/24,,
E,29,D,1261,P,18.64,0,7/11/24,6.5,1,165,75.8,7/10/24,,
E,30,C,363,,,,,,,,,,,
E,30,D,559,X,8.61,0,5/30/24,5,1,30,20,5/23/24,,
E,31,C,788,P,16.29,0,7/11/24,2,3,44,39,7/10/24,,
E,31,D,2009,,,,,,,,,,,
E,32,C,1194,P,27.56,0,7/11/24,8.2,1,55,48,7/10/24,,
E,32,D,653,P,14.92,0,7/11/24,7.5,1,71,64,7/10/24,,
E,33,C,1335,V,13.44,NA,,NA,2,17,14,7/10/24,,
E,33,D,2033,,,,,,,,,,,
E,34,C,757,P,10.34,10,7/11/24,5.5,1,14.5,16.5,7/11/24,Dying,
E,34,D,1030,,,,,,,,,,,
E,35,C,1235,P,25.21,0,,5.2,1,68,66,7/10/24,nonreproductive,
E,35,D,222,P,16.06,0,7/11/24,10.2,2,54,52,7/10/24,,
E,36,C,774,P,14.17,0,5/30/24,9,1,70,70,5/23/24,,
E,36,D,571,P,14.14,0,5/30/24,10,5,50,40,5/23/24,5/30 Not flagged but ready to centus,
E,37,C,294,,,,,,,,,,,
E,37,D,617,P,16.63,0,7/11/24,7.3,3,110,93,7/10/24,,
E,38,C,665,P,18.68,0,7/11/24,7.7,1,113,104,7/10/24,,
E,38,D,126,V,7.15,NA,,NA,1,13.5,10,7/10/24,Dry,
E,39,C,1276,P,7.24,0,7/17/24,7.2,4,53,31,7/10/24,,
E,39,D,1006,,,,,,,,,,,
E,40,C,631,P,11.61,0,7/17/24,9,2,62,56,7/10/24,,
E,40,D,484,,,,,,,,,,,
E,41,C,1301,P,14.64,0,7/11/24,8.7,3,41.3,38.4,7/10/24,already dehisced,
E,41,D,1136,V,13.23,NA,,NA,2,30,30,7/10/24,,
E,42,C,451,P,11.07,0,7/17/24,8.8,2,94,36.3,7/10/24,,
E,42,D,677,P,8.88,0,7/17/24,8,1,49.2,30,7/10/24,,
E,43,C,1362,P,14.73,0,5/30/24,9,1,48,40,5/23/24,,
E,43,D,15,P,20.5,0,7/17/24,7.9,1,75.6,64,7/10/24,,
E,44,C,1054,P,6.66,0,7/17/24,5.5,5,43.2,40.5,7/10/24,,
E,44,D,1090,V,8.61,NA,,NA,3,13.2,11.4,7/10/24,,
E,45,C,1,P,13.13,0,5/30/24,8,3,36,36,5/23/24,,
E,45,D,buffer,,,,,,,,,,,
E,46,C,buffer,,,,,,,,,,,
E,46,D,buffer,,,,,,,,,,,
F,1,A,buffer,,,,,,,,,,,
F,1,B,buffer,,,,,,,,,,,
F,2,A,1082,P,16.69,0,6/20/24,4.2,1,43,42,6/20/24,,
F,2,B,1251,P,12.94,1,5/23/24,7.5,1,85.3,67.8,5/23/24,,
F,3,A,1379,V,20.3,0,,NA,1,50.7,54.9,7/11/24,,
F,3,B,534,X,6.39,0,6/27/24,NA,5,6.5,6.5,6/27/24,,
F,4,A,1094,X,8.54,0,6/27/24,NA,1,22,15.5,6/27/24,,
F,4,B,1339,,,,,,,,,,,
F,5,A,746,P,18.96,0,5/30/24,9,1,68,72,5/30/24,,
F,5,B,269,V,7.03,0,,NA,1,14.9,9.2,7/11/24,,
F,6,A,130,,,,,,,,,,,
F,6,B,254,P,16.48,0,6/14/24,9.7,1,98,77,6/6/24,,
F,7,A,731,P,15.49,0,6/14/24,7.5,1,90,57,6/6/24,,
F,7,B,214,V,15.52,0,,NA,1,52.3,43.4,7/11/24,,
F,8,A,142,X,4.45,0,5/27/24,NA,3,12.5,11,6/27/24,,
F,8,B,190,,,,,,,,,,,
F,9,A,2001,P,17.91,0,6/14/24,6.9,1,109,80,6/6/24,,
F,9,B,178,,,,,,,,,,,
F,10,A,550,P,21.69,0,6/20/24,8.2,3,83,65,6/20/24,,
F,10,B,282,,,,,,,,,,,
F,11,A,657,P,13.98,0,6/14/24,9.2,1,98,40,6/6/24,,
F,11,B,500,P,7.3,0,6/20/24,9.2,,96,93,6/20/24,,
F,12,A,2037,V,4.23,0,,NA,1,7.7,5.9,7/11/24,,
F,12,B,1046,P,15.39,0,6/14/24,5.8,6,38.8,34,6/14/24,,
F,13,A,1280,P,10.9,0,5/23/24,5.7,1,48.4,46.3,5/14/24,plant drying,
F,13,B,1112,,,,,,,,,,,
F,14,A,682,P,14.66,0,5/23/24,7.8,1,57.2,56.2,5/14/24,plant drying,
F,14,B,488,P,12.98,0,6/20/24,9.5,3,70,56,6/20/24,,
F,15,A,355,,,,,,,,,,,
F,15,B,1010,P,15.89,0,6/27/24,7.8,1,85.7,76,6/27/24,,
F,16,A,166,X,6.15,0,,NA,1,8.3,7,7/11/24,,
F,16,B,1034,X,5.7,0,6/27/24,NA,1,12,11,6/27/24,,
F,17,A,1198,P,21.24,0,6/14/24,8.1,1,100,49,6/6/24,,
F,17,B,1227,P,13.89,0,3/30/24,9.1,1,88,59,5/23/24,,
F,18,A,202,p,15.25,0,6/27/24,7.9,1,75,54,6/27/24,Starting to dehisce,
F,18,B,986,P,16.68,0,5/30/24,9.5,1,100,79,5/23/24,,
F,19,A,1140,,,,,,,,,,,
F,19,B,154,X,4.42,0,6/27/24,NA,2,11,9.8,6/27/24,,
F,20,A,1266,P,14.28,0,5/30/24,8.5,1,80,67,5/23/24,too dry / lost some seeds,
F,20,B,998,P,7.52,0,6/27/24,9.3,1,77.5,61,6/27/24,,
F,21,A,860,,,,,,,,,,,
F,21,B,106,,,,,,,,,,,
F,22,A,1292,P,12.14,0,6/14/24,6.7,1,64,59,6/6/24,,
F,22,B,1022,V,,0,,NA,8,43.3,32.1,7/11/24,bushy plant / cant measure stem diameter,
F,23,A,563,P,15.75,0,6/27/24,8.8,1,72,65,6/27/24,dehisced,
F,23,B,buffer,,,,,,,,,,,
F,24,A,buffer,,,,,,,,,,,
F,24,B,1005,P,11.1,2,5/30/24,8.4,1,103.5,97,5/23/24,,
F,25,A,40,P,10.19,0,5/23/24,6.4,4,67,63.4,5/14/24,,
F,25,B,1300,X,13.4,0,6/27/24,NA,3,34,38,6/27/24,,
F,26,A,26,,,,,,,,,,,
F,26,B,68,P,10.97,0,5/23/24,7.1,1,72.6,50.9,5/14/24,,
F,27,A,101,,,,,,,,,,,
F,27,B,887,X,11,0,,NA,1,20.6,18.3,7/11/24,,
F,28,A,558,P,20.47,0,6/14/24,9.3,1,116,105,6/6/24,,
F,28,B,664,P,23.32,0,5/30/24,7.1,3,76,73,5/23/24,,
F,29,A,1147,,,,,,,,,,,
F,29,B,570,P,19.28,0,6/14/24,9,9,97,64,6/14/24,,
F,30,A,386,V,6.72,0,,NA,1,30.2,20.8,7,,
F,30,B,1287,P,8.28,0,5/23/24,5.9,1,8,6,5/14/24,plant drying,
F,31,A,938,,,,,,,,,,,
F,31,B,1089,,,,,,,,,,,
F,32,A,1260,,,,,,,,,,,
F,32,B,185,,,,,,,,,,,
F,33,A,137,,,,,,,,,,,
F,33,B,125,V,3.67,0,,NA,1,6.9,5.4,7/11/24,,
F,34,A,714,P,17.77,0,6/14/24,8.5,3,93,65,6/14/24,,
F,34,B,55,P,11.18,0,5/30/24,9,1,55,41,5/23/24,,
F,35,A,726,P,2.54,0,6/14/24,7,1,30,0,6/14/24,Only 2 branches,
F,35,B,1222,P,20.23,0,6/20/24,9.3,1,86,63,6/20/24,,
F,36,A,855,,,,,,,,,,,
F,36,B :,426,P,16.33,0,5/30/24,7.4,1,92,77,5/23/24,,
F,37,A,807,P,20.29,0,6/20/24,7.5,8,70,66,6/20/24,,
F,37,B,1135,,,,,,,,,,,
F,38,A,773,P,17.71,0,6/14/24,7.6,1,73.5,58,6/14/24,,
F,38,B,1275,V,11.65,0,,NA,1,40.2,43.7,7/11/24,,
