"","bed","row","col","Unique.ID","diam.mm","height.cm","overhd.diam","overhd.perp","canopy.area"
"186","C",33,"D","2410",1.24,2.2,1.2,1.1,1.03672557568463
"187","C",34,"C","2471",2.02,8.7,7.5,7.8,45.9457925587507
"188","C",34,"D","2201",2.43,7,9.1,7,50.0298630084175
"189","C",35,"C","2218",2.1,9.2,6.7,6.4,33.6778732464826
"190","C",35,"D","2153",NA,NA,NA,NA,NA
"191","C",36,"C","buffer",NA,NA,NA,NA,NA
"192","C",36,"D","buffer",NA,NA,NA,NA,NA
"193","C",37,"C","2260",3.59,17.7,7.5,5.3,31.2195769950486
"194","C",37,"D","714",1.7,NA,NA,NA,NA
"195","C",38,"C","1982",3.49,5.3,4.9,3.3,12.6998883021367
"196","C",38,"D","539",1.49,11.5,6,1.2,5.65486677646163
"197","C",39,"C","2220",2.85,11.5,6.7,6.1,32.0992229380537
"198","C",39,"D","1821",3.42,7.7,8.2,5.3,34.1334041812531
"199","C",40,"C","1992",2.68,6.3,7.1,6.3,35.1308598487679
"200","C",40,"D","2204",2.27,6,5.2,4.1,16.7446888436336
"201","C",41,"C","2607",1.42,5.2,5,3.2,12.5663706143592
"202","C",41,"D","2554",3.29,6.9,5.1,4,16.0221225333079
"203","C",42,"C","2446",NA,NA,NA,NA,NA
"204","C",42,"D","2043",2.34,4.8,4.8,5,18.8495559215388
"205","C",43,"C","1156",2.38,NA,NA,NA,NA
"206","C",43,"D","1048",2.15,28.3,3.8,3,8.95353906273091
"207","C",44,"C","1252",1.96,NA,NA,NA,NA
"208","C",44,"D","1085",1.58,NA,NA,NA,NA
"209","C",45,"C",NA,NA,NA,NA,NA,NA
"210","C",45,"D","394",1.68,NA,NA,NA,NA
"211","C",46,"C",NA,NA,NA,NA,NA,NA
"212","C",46,"D","1766",3.52,35.5,15.8,7.5,93.0696823625976
"213","C",47,"C","2255",NA,NA,NA,NA,NA
"214","C",47,"D","1399",1.86,NA,NA,NA,NA
"215","C",48,"C","89",1.78,NA,NA,NA,NA
"216","C",48,"D","1919",2.92,5.8,6.3,5.7,28.2036480476024
"217","C",49,"C","2643",2.63,27.1,1.9,1.6,2.38761041672824
"218","C",49,"D","2480",NA,NA,NA,NA,NA
"219","C",50,"C","1794",3.17,24.2,5.9,6.2,28.7298648170787
"220","C",50,"D","2097",2.34,5.3,6.5,4.5,22.9728962793754
"221","C",51,"C","2397",NA,NA,NA,NA,NA
"222","C",51,"D","1831",3.07,7.2,6.5,6.7,34.2040900159589
"223","C",52,"C","2516",3.97,8.2,5.6,4.8,21.1115026321234
"224","C",52,"D","1701",NA,NA,NA,NA,NA
"225","C",53,"C","2311",3.03,5,5.1,3.3,13.2182510899791
"226","C",53,"D","2640",1.89,13.3,4.7,4.5,16.611171155856
"227","C",54,"C","buffer",NA,NA,NA,NA,NA
"228","C",54,"D","buffer",NA,NA,NA,NA,NA
"229","C",55,"C","2423",NA,NA,NA,NA,NA
"230","C",55,"D","2519",2.46,6.6,6.1,5.2,24.9128297429671
"231","C",56,"C","2450",NA,NA,NA,NA,NA
"232","C",56,"D","2559",1.83,7.8,5.5,5.4,23.3263254529042
"233","C",57,"C","1798",NA,NA,NA,NA,NA
"234","C",57,"D","1835",1.48,5.4,3.8,3.5,10.4457955731861
"235","C",58,"C","2031",2.6,11.4,7.2,5.8,32.7982273034774
"236","C",58,"D","2457",1.85,4.7,5.3,3.6,14.9853969576233
"237","C",59,"C","buffer",NA,NA,NA,NA,NA
"238","C",59,"D","buffer",NA,NA,NA,NA,NA
"239","C",60,"C","buffer",NA,NA,NA,NA,NA
"240","C",60,"D","buffer",NA,NA,NA,NA,NA
"241","D",1,"A","buffer",NA,NA,NA,NA,NA
"242","D",1,"B","buffer",NA,NA,NA,NA,NA
"243","D",2,"A","buffer",NA,NA,NA,NA,NA
"244","D",2,"B","buffer",NA,NA,NA,NA,NA
"245","D",3,"A","buffer",NA,NA,NA,NA,NA
"246","D",3,"B","buffer",NA,NA,NA,NA,NA
"247","D",4,"A","1993",2.18,8.3,9.7,7.7,58.6613888241554
