bed ,row ,col ,unique.ID ,phen ,diam.mm ,num.flw ,num.fruit ,long.fruit.cm ,total.branch ,overhd.diam ,overhd.perp ,survey.date ,collected.date ,survey.notes
C ,46,A ,452,,,,,,,,,,,
C ,46,B ,20,,,,,,,,,,,
C ,47,A ,187,,,,,,,,,,,
C ,47,B ,IH_2_7 ,P ,3.94,0,9,6.6,1,,,8/27/24,8/27/24,8/20 tape 
C ,48,A ,361,,,,,,,,,,,7/9 wilting 
C ,48,B ,243,,,,,,,,,,,
C ,49,A ,1187,V ,0.96,0,0,NA ,1,2.5,1.3,10/23/24,,h = 7.4 
C ,49,B ,201,,,,,,,,,,,
C ,50,A ,907,,,,,,,,,,,
C ,50,B ,404,V ,1.71,0,0,NA ,1,4.1,4.1,10/23/24,,h = 6.9 
C ,51,A ,NA ,,,,,,,,,,,
C ,51,B ,NA ,,,,,,,,,,,
C ,52,A ,1409,V ,1.11,0,0,NA ,1,2.5,2,10/23/24,,h=4.1 
C ,52,B ,74,V ,1.06,0,0,NA ,1,1.5,1.1,10/23/24,,h=6.6 
C ,53,A ,248,,,,,,,,,,,
C ,53,B ,IH_3_8 ,,,,,,,,,,,
C ,54,A ,1255,,,,,,,,,,,
C ,54,B ,TM2_1_14 ,,,,,,,,,,,TM2 Fruiting from 2023 / one seedling 
C ,55,A ,YO7_1_4 ,P ,2.12,0,53,5.2,1,,,8/6/24,8/6/24,Dying buds 8/6 dehiscing/harvested 10 fruits 
C ,55,B ,1124,,,,,,,,,,,6/25/24 almost dead no leaves 
C ,56,A ,739,,,,,,,,,,,
C ,56,B ,1241,,,,,,,,,,,
C ,57,A ,34,,,,,,,,,,,6/18/24 wilting 
C ,57,B ,453,,,,,,,,,,,
C ,58,A ,395,V ,1.5,0,0,NA ,1,3.4,1.2,10/23/24,,h=5.7 
C ,58,B ,267,,,,,,,,,,,6/25/24 wilting 
C ,59,A ,buffer ,,,,,,,,,,,
C ,59,B ,buffer ,,,,,,,,,,,
C ,60,A ,buffer ,,,,,,,,,,,
C ,60,B ,buffer ,,,,,,,,,,,
C ,1,C ,buffer ,,,,,,,,,,,
C ,1,D ,buffer ,,,,,,,,,,,
C ,2,C ,SC_5_6 ,P ,2.13,0,1,5,1,,,8/27/24,9/17/24,mistakenly coded as buffer before 7/23 8/20 tape 10/9 tape 10/23 1 green fruit 
C ,2,D ,CC_9_6 ,P ,2.45,0,10,4.5,1,,,8/27/24,10/2/24,mistakenly coded as buffer before 7/23 8/20 tape 10/2 partial harvest 6 fruits/still has green fruit 10/9 tape 10/23 +4 fruits harvested 1 green fruit remaining 
C ,3,C ,buffer ,,,,,,,,,,,
C ,3,D ,87,,,,,,,,,,,6/18/24 wilting 
C ,4,C ,987,,,,,,,,,,,6/18/24 wilting 
C ,4,D ,buffer ,,,,,,,,,,,
C ,5,C ,666,,,,,,,,,,,6/18/24 wilting 
C ,5,D ,NA ,,,,,,,,,,,
C ,6,C ,1227,,,,,,,,,,,6/25/24 wilting 
C ,6,D ,1185,,,,,,,,,,,7/9/24 wilted 
C ,7,C ,1172,,,,,,,,,,,
C ,7,D ,487,,,,,,,,,,,6/18/24 wilting 
C ,8,C ,167,,,,,,,,,,,6/25/24 wilting 
C ,8,D ,1127,,,,,,,,,,,
C ,9,C ,752,,,,,,,,,,,7/2 wilting 
C ,9,D ,886,,,,,,,,,,,
C ,10,C ,303,,,,,,,,,,,7/9 wilted 
C ,10,D ,BH_3_6 ,,,,,,,,,,,6/18/24 No tag/ 7/2 stem broken at base 
C ,11,C ,763,,,,,,,,,,,6/25/24 wilting 
C ,11,D ,1397,,,,,,,,,,,6/25/24 wilting 
C ,12,C ,1286,,,,,,,,,,,6/25/24 wilting 
C ,12,D ,1,,,,,,,,,,,
C ,13,C ,736,,,,,,,,,,,7/9/24 wilting 
C ,13,D ,1245,,,,,,,,,,,
C ,14,C ,149,,,,,,,,,,,6/18/24 wilting 
C ,14,D ,1423,,,,,,,,,,,7/9/24 wilting 
C ,15,C ,41,,,,,,,,,,,6/25/24 wilting 
C ,15,D ,560,,,,,,,,,,,
C ,16,C ,130,,,,,,,,,,,
C ,16,D ,932,,,,,,,,,,,6/18/24 wilting 
C ,17,C ,371,,,,,,,,,,,
C ,17,D ,600,,,,,,,,,,,
C ,18,C ,NA ,,,,,,,,,,,
C ,18,D ,NA ,,,,,,,,,,,
C ,19,C ,309,,,,,,,,,,,7/16/24 wilting 
C ,19,D ,298,,,,,,,,,,,6/18/24 dead at planting 
C ,20,C ,790,,,,,,,,,,,
C ,20,D ,1123,,,,,,,,,,,6/18/24 wilting 
C ,21,C ,1311,,,,,,,,,,,7/2 wilting 
